FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT
NERA3788,F1-1,THOUSAND ONE NINETY WE (QUOTE LL,1.49,6.57,L02F1-0001,
F1-1,NERA3788 GAA329,THANKS BIZEX THREE TWENTY NINE TURN LEFT HEADING ONE CORRECTION ZERO     NINER ZERO,6.59,11.17,L02F1-0002,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
GAA329,F1-1,ZERO NINE ZERO THREE TWENTY NINE ROGER THAT SIR,11.21,13.57,L02F1-0003,
F1-1,USA268,U S AIR TWO SIXTY EIGHT YOU (QUOTE RE,14.31,20.34,L02F1-0004,
USA268,F1-1,CLEARED THE I L S TWO SEVEN U S AIR TWO SIXTY EIGHT,20.74,22.75,L02F1-0005,
F1-1,USA268,YES SIR TWO SIXTY EIGHT CONTACT THE TOWER ONE ONE NINER POINT ONE,22.75,25.44,L02F1-0006,
USA268,F1-1,HAVE A GOOD DAY,25.43,26.36,L02F1-0007,
F1-1,N01C,CESSNA ZERO ONE CHARLIE V F R DESCENT MAINTAIN THREE THOUSAND,29.62,32.7,L02F1-0008,
N01C,F1-1,THREE THOUSAND ZERO ONE CHARLIE,33.07,34.69,L02F1-0009,
GAA329,F1-1,BIZEX THREE TWENTY NINE TRAFFIC TWELVE THIRTY FIVE MILES LEAVING THREE     THOUSAND FIVE HUNDRED IS A MERLIN,34.98,40.64,L02F1-0010,
GAA329,F1-1,WE (QUOTE RE,41.81,43.95,L02F1-0011,
F1-1,GAA329,BIZEX THREE TWENTY NINE TURN RIGHT HEADING ONE THREE ZERO,62.26,64.7,L02F1-0012,
GAA329,F1-1,ONE THREE ZERO FOR THREE TWENTY NINE,64.94,67.01,L02F1-0013,
F1-1,GAA329,BIZEX THREE TWENTY NINE AH DESCEND V F R MAINTAIN THREE THOUSAND OUT OF     TURN TRAFFIC (QUOTE S,77.92,84.91,L02F1-0014,
GAA329,F1-1,AH WE GOT HIM IN SIGHT NOW SIR BIZEX THREE TWENTY NINE GOING DOWN TO     THREE THOUSAND,85.42,89.34,L02F1-0015,
F1-1,GAA329,EX THREE TWENTY NINE DESCENT YOUR DISCRETION AFTER LANDING TWO TWO LEFT     HOLD SHORT OF RUNWAY TWO SEVEN FOLLOW THAT TRAFFIC,89.39,94.4,L02F1-0016,
GAA329,F1-1,AH ROGER THAT SIR AH BIZEX THREE TWENTY NINE,95.49,98.36,L02F1-0017,
F1-1,NERA3788,NERA THIRTY SEVEN EIGHTY EIGHT REDUCE AND MAINTAIN SPEED ONE SEVEN ZERO     TILL A LINDY AND CONTACT THE TOWER ONE ONE NINER POINT ONE,102.43,108.51,L02F1-0018,
NERA3788,F1-1,O K WE (QUOTE RE,108.55,112.0,L02F1-0019,
F1-1,NERA3788 GAA329,SO LONG BIZEX THREE TWENTY NINE REDUCE AND MAINTAIN A HUNDRED AND SEVENTY     KNOTS TIL FIVE D M E CONTACT THE TOWER ONE ONE NINER POINT ONE,112.02,117.26,L02F1-0020,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
GAA329,F1-1,SO LONG (UNINTELLIGIBLE,117.33,119.45,L02F1-0021,
F1-1,N01C,TWIN CESSNA ZERO ONE CHARLIE TURN RIGHT HEADING ZERO NINER ZERO,119.5,122.11,L02F1-0022,
N01C,F1-1,ZERO NINE ZERO,122.32,123.29,L02F1-0023,
N21CM,F1-1,BOSTON APPROACH GULFSTREAM TWO TWO ONE CHARLIE MIKE (QUOTE S,140.27,146.51,L02F1-0024,
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE BOSTON APPROACH CONTROL ROGER DESCEND     AND MAINTAIN FOUR THOUSAND,147.88,151.96,L02F1-0025,
N21CM,F1-1,OUT OF EIGHT FOR FOUR CHARLIE MIKE,152.61,154.3,L02F1-0026,
F1-1,N01C,NOVEMBER TWO TWO ZERO ONE CHARLIE TRAFFIC ONE TO TWO O (QUOTE CLOCK,157.42,163.87,L02F1-0027,
N01C,F1-1,HAVE IN SIGHT,164.11,165.19,L02F1-0028,
F1-1,N01C,CESSNA ZERO ONE CHARLIE ADVISE TRAFFIC IN SIGHT LAST TRANSMISSION WAS     BROKEN,168.71,172.42,L02F1-0029,
N01C,F1-1,O K WE GOT HIM IN SIGHT,172.42,173.72,L02F1-0030,
F1-1,N01C,NOVEMBER TWO TWO ZERO ONE CHARLIE FOLLOW THAT TRAFFIC TO RUNWAY TWO TWO     LEFT AFTER LANDING HOLD SHORT OF RUNWAY TWO SEVEN DESCENT YOUR DISCRETION     ALTHOUGH MAINTAIN THREE THOUSAND UNTIL TEN D M E AND THEN DESCENT YOUR     DISCRETION,174.62,185.23,L02F1-0031,
N01C,F1-1,THAT (QUOTE S,185.73,188.29,L02F1-0032,
NERA3725,F1-1,BOSTON NERA THIRTY SEVEN TWENTY FIVE CHECKING IN LEVEL FOUR THOUSAND     HEADING OF ONE SIX ZERO,189.96,194.98,L02F1-0034,
F1-1,NERA3725,THIRTY SEVEN TWENTY FIVE BOSTON GOOD AFTERNOON ROGER,194.89,197.2,L02F1-0035,
PCN3571,F1-1,BOSTON APPROACH PRECISION THIRTY FIVE SEVENTY ONE PASSING FIVE POINT FOUR     FOR FOUR THOUSAND,214.01,218.82,L02F1-0036,
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE BOSTON APPROACH ROGER,218.97,221.31,L02F1-0037,
F1-1,N21CM,GULFSTREAM ONE CHARLIE MIKE TURN LEFT HEADING ZERO NINER ZERO AND DESCEND     AND MAINTAIN TWO THOUSAND,226.93,230.79,L02F1-0038,
N21CM,F1-1,LEFT TO ZERO NINER ZERO OUT OF SIX FOR TWO CHARLIE MIKE,231.08,234.22,L02F1-0039,
F1-1,N21CM NERA3788,THANKS NERA THIRTY SEVEN EIGHTY EIGHT CONTACT THE TOWER ONE ONE NINER     POINT ONE,234.22,237.08,L02F1-0040,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
GAA329,F1-1,BIZEX THREE TWENTY NINE BOSTON TOWER (QUOTE S,237.67,240.35,L02F1-0041,
F1-1,N01C,CRUSADER TWO TWO ZERO ONE CHARLIE CONTACT THE TOWER ONE ONE NINER POINT     ONE,241.06,244.02,L02F1-0042,
N01C,F1-1,NINETEEN ONE,244.29,244.9,L02F1-0043,
F1-1,N21CM,GULFSTREAM ONE CHARLIE MIKE YOU (QUOTE RE,245.85,249.28,L02F1-0044,
N21CM,F1-1,WE HAVE IT IN SIGHT,249.87,250.85,L02F1-0045,
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE YOUR RUNWAY IS TWO SEVEN CLEARED FOR     THE VISUAL APPROACH,250.97,254.58,L02F1-0046,
N21CM,F1-1,O K CLEARED FOR THE VISUAL TWO SEVEN CHARLIE MIKE,254.9,257.21,L02F1-0047,
USA1588,F1-1,(UNINTELLIGIBLE,261.25,265.6,L02F1-0048,STATIC ON THE FREQUENCY
FAB1588,F1-1,U S AIR FIFTEEN EIGHTY EIGHT BOSTON APPROACH GOOD AFTERNOON DESCEND AND     MAINTAIN FOUR THOUSAND,265.65,269.12,L02F1-0049,
USA1588,F1-1,ON DOWN TO FOUR THOUSAND U S AIR FIFTEEN EIGHTY EIGHT,269.37,272.2,L02F1-0050,
