FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT,cleaned_text,normalized_text
NERA3788,F1-1,THOUSAND ONE NINETY WE (QUOTE LL,1.49,6.57,L02F1-0001,,thousand one ninety we quote ll,xxxx xxx xxxx we quote ll
F1-1,NERA3788 GAA329,THANKS BIZEX THREE TWENTY NINE TURN LEFT HEADING ONE CORRECTION ZERO     NINER ZERO,6.59,11.17,L02F1-0002,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks bizex three twenty nine turn left heading one correction zero niner zero,thanks bizex xxxx xxxx xxxx turn left heading xxx correction xxxx niner xxxx
GAA329,F1-1,ZERO NINE ZERO THREE TWENTY NINE ROGER THAT SIR,11.21,13.57,L02F1-0003,,zero nine zero three twenty nine roger that sir,xxxx xxxx xxxx xxxx xxxx xxxx roger that sir
F1-1,USA268,U S AIR TWO SIXTY EIGHT YOU (QUOTE RE,14.31,20.34,L02F1-0004,,u s air two sixty eight you quote re,u s air xxx xxxx xxxx you quote re
USA268,F1-1,CLEARED THE I L S TWO SEVEN U S AIR TWO SIXTY EIGHT,20.74,22.75,L02F1-0005,,cleared the i l s two seven u s air two sixty eight,cleared the i l s xxx xxxx u s air xxx xxxx xxxx
F1-1,USA268,YES SIR TWO SIXTY EIGHT CONTACT THE TOWER ONE ONE NINER POINT ONE,22.75,25.44,L02F1-0006,,yes sir two sixty eight contact the tower one one niner point one,yes sir xxx xxxx xxxx contact the tower xxx xxx niner point xxx
USA268,F1-1,HAVE A GOOD DAY,25.43,26.36,L02F1-0007,,have a good day,have a good day
F1-1,N01C,CESSNA ZERO ONE CHARLIE V F R DESCENT MAINTAIN THREE THOUSAND,29.62,32.7,L02F1-0008,,cessna zero one charlie v f r descent maintain three thousand,cessna xxxx xxx charlie v f r descent maintain xxxx xxxx
N01C,F1-1,THREE THOUSAND ZERO ONE CHARLIE,33.07,34.69,L02F1-0009,,three thousand zero one charlie,xxxx xxxx xxxx xxx charlie
GAA329,F1-1,BIZEX THREE TWENTY NINE TRAFFIC TWELVE THIRTY FIVE MILES LEAVING THREE     THOUSAND FIVE HUNDRED IS A MERLIN,34.98,40.64,L02F1-0010,,bizex three twenty nine traffic twelve thirty five miles leaving three thousand five hundred is a merlin,bizex xxxx xxxx xxxx traffic xxxx xxxx xxxx miles leaving xxxx xxxx xxxx xxxx is a merlin
GAA329,F1-1,WE (QUOTE RE,41.81,43.95,L02F1-0011,,we quote re,we quote re
F1-1,GAA329,BIZEX THREE TWENTY NINE TURN RIGHT HEADING ONE THREE ZERO,62.26,64.7,L02F1-0012,,bizex three twenty nine turn right heading one three zero,bizex xxxx xxxx xxxx turn right heading xxx xxxx xxxx
GAA329,F1-1,ONE THREE ZERO FOR THREE TWENTY NINE,64.94,67.01,L02F1-0013,,one three zero for three twenty nine,xxx xxxx xxxx for xxxx xxxx xxxx
F1-1,GAA329,BIZEX THREE TWENTY NINE AH DESCEND V F R MAINTAIN THREE THOUSAND OUT OF     TURN TRAFFIC (QUOTE S,77.92,84.91,L02F1-0014,,bizex three twenty nine ah descend v f r maintain three thousand out of turn traffic quote s,bizex xxxx xxxx xxxx ah descend v f r maintain xxxx xxxx out of turn traffic quote s
GAA329,F1-1,AH WE GOT HIM IN SIGHT NOW SIR BIZEX THREE TWENTY NINE GOING DOWN TO     THREE THOUSAND,85.42,89.34,L02F1-0015,,ah we got him in sight now sir bizex three twenty nine going down to three thousand,ah we got him in sight now sir bizex xxxx xxxx xxxx going down to xxxx xxxx
F1-1,GAA329,EX THREE TWENTY NINE DESCENT YOUR DISCRETION AFTER LANDING TWO TWO LEFT     HOLD SHORT OF RUNWAY TWO SEVEN FOLLOW THAT TRAFFIC,89.39,94.4,L02F1-0016,,ex three twenty nine descent your discretion after landing two two left hold short of runway two seven follow that traffic,ex xxxx xxxx xxxx descent your discretion after landing xxx xxx left hold short of runway xxx xxxx follow that traffic
GAA329,F1-1,AH ROGER THAT SIR AH BIZEX THREE TWENTY NINE,95.49,98.36,L02F1-0017,,ah roger that sir ah bizex three twenty nine,ah roger that sir ah bizex xxxx xxxx xxxx
F1-1,NERA3788,NERA THIRTY SEVEN EIGHTY EIGHT REDUCE AND MAINTAIN SPEED ONE SEVEN ZERO     TILL A LINDY AND CONTACT THE TOWER ONE ONE NINER POINT ONE,102.43,108.51,L02F1-0018,,nera thirty seven eighty eight reduce and maintain speed one seven zero till a lindy and contact the tower one one niner point one,nera xxxx xxxx xxxx xxxx reduce and maintain speed xxx xxxx xxxx till a lindy and contact the tower xxx xxx niner point xxx
NERA3788,F1-1,O K WE (QUOTE RE,108.55,112.0,L02F1-0019,,o k we quote re,o k we quote re
F1-1,NERA3788 GAA329,SO LONG BIZEX THREE TWENTY NINE REDUCE AND MAINTAIN A HUNDRED AND SEVENTY     KNOTS TIL FIVE D M E CONTACT THE TOWER ONE ONE NINER POINT ONE,112.02,117.26,L02F1-0020,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,so long bizex three twenty nine reduce and maintain a hundred and seventy knots til five d m e contact the tower one one niner point one,so long bizex xxxx xxxx xxxx reduce and maintain a xxxx and xxxx knots til xxxx d m e contact the tower xxx xxx niner point xxx
GAA329,F1-1,SO LONG (UNINTELLIGIBLE,117.33,119.45,L02F1-0021,,so long unintelligible,so long unintelligible
F1-1,N01C,TWIN CESSNA ZERO ONE CHARLIE TURN RIGHT HEADING ZERO NINER ZERO,119.5,122.11,L02F1-0022,,twin cessna zero one charlie turn right heading zero niner zero,twin cessna xxxx xxx charlie turn right heading xxxx niner xxxx
N01C,F1-1,ZERO NINE ZERO,122.32,123.29,L02F1-0023,,zero nine zero,xxxx xxxx xxxx
N21CM,F1-1,BOSTON APPROACH GULFSTREAM TWO TWO ONE CHARLIE MIKE (QUOTE S,140.27,146.51,L02F1-0024,,boston approach gulfstream two two one charlie mike quote s,boston approach gulfstream xxx xxx xxx charlie mike quote s
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE BOSTON APPROACH CONTROL ROGER DESCEND     AND MAINTAIN FOUR THOUSAND,147.88,151.96,L02F1-0025,,gulfstream two two one charlie mike boston approach control roger descend and maintain four thousand,gulfstream xxx xxx xxx charlie mike boston approach control roger descend and maintain xxxx xxxx
N21CM,F1-1,OUT OF EIGHT FOR FOUR CHARLIE MIKE,152.61,154.3,L02F1-0026,,out of eight for four charlie mike,out of xxxx for xxxx charlie mike
F1-1,N01C,NOVEMBER TWO TWO ZERO ONE CHARLIE TRAFFIC ONE TO TWO O (QUOTE CLOCK,157.42,163.87,L02F1-0027,,november two two zero one charlie traffic one to two o quote clock,november xxx xxx xxxx xxx charlie traffic xxx to xxx o quote clock
N01C,F1-1,HAVE IN SIGHT,164.11,165.19,L02F1-0028,,have in sight,have in sight
F1-1,N01C,CESSNA ZERO ONE CHARLIE ADVISE TRAFFIC IN SIGHT LAST TRANSMISSION WAS     BROKEN,168.71,172.42,L02F1-0029,,cessna zero one charlie advise traffic in sight last transmission was broken,cessna xxxx xxx charlie advise traffic in sight last transmission was broken
N01C,F1-1,O K WE GOT HIM IN SIGHT,172.42,173.72,L02F1-0030,,o k we got him in sight,o k we got him in sight
F1-1,N01C,NOVEMBER TWO TWO ZERO ONE CHARLIE FOLLOW THAT TRAFFIC TO RUNWAY TWO TWO     LEFT AFTER LANDING HOLD SHORT OF RUNWAY TWO SEVEN DESCENT YOUR DISCRETION     ALTHOUGH MAINTAIN THREE THOUSAND UNTIL TEN D M E AND THEN DESCENT YOUR     DISCRETION,174.62,185.23,L02F1-0031,,november two two zero one charlie follow that traffic to runway two two left after landing hold short of runway two seven descent your discretion although maintain three thousand until ten d m e and then descent your discretion,november xxx xxx xxxx xxx charlie follow that traffic to runway xxx xxx left after landing hold short of runway xxx xxxx descent your discretion although maintain xxxx xxxx until xxx d m e and then descent your discretion
N01C,F1-1,THAT (QUOTE S,185.73,188.29,L02F1-0032,,that quote s,that quote s
NERA3725,F1-1,BOSTON NERA THIRTY SEVEN TWENTY FIVE CHECKING IN LEVEL FOUR THOUSAND     HEADING OF ONE SIX ZERO,189.96,194.98,L02F1-0034,,boston nera thirty seven twenty five checking in level four thousand heading of one six zero,boston nera xxxx xxxx xxxx xxxx checking in level xxxx xxxx heading of xxx xxx xxxx
F1-1,NERA3725,THIRTY SEVEN TWENTY FIVE BOSTON GOOD AFTERNOON ROGER,194.89,197.2,L02F1-0035,,thirty seven twenty five boston good afternoon roger,xxxx xxxx xxxx xxxx boston good afternoon roger
PCN3571,F1-1,BOSTON APPROACH PRECISION THIRTY FIVE SEVENTY ONE PASSING FIVE POINT FOUR     FOR FOUR THOUSAND,214.01,218.82,L02F1-0036,,boston approach precision thirty five seventy one passing five point four for four thousand,boston approach precision xxxx xxxx xxxx xxx passing xxxx point xxxx for xxxx xxxx
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE BOSTON APPROACH ROGER,218.97,221.31,L02F1-0037,,precision thirty five seventy one boston approach roger,precision xxxx xxxx xxxx xxx boston approach roger
F1-1,N21CM,GULFSTREAM ONE CHARLIE MIKE TURN LEFT HEADING ZERO NINER ZERO AND DESCEND     AND MAINTAIN TWO THOUSAND,226.93,230.79,L02F1-0038,,gulfstream one charlie mike turn left heading zero niner zero and descend and maintain two thousand,gulfstream xxx charlie mike turn left heading xxxx niner xxxx and descend and maintain xxx xxxx
N21CM,F1-1,LEFT TO ZERO NINER ZERO OUT OF SIX FOR TWO CHARLIE MIKE,231.08,234.22,L02F1-0039,,left to zero niner zero out of six for two charlie mike,left to xxxx niner xxxx out of xxx for xxx charlie mike
F1-1,N21CM NERA3788,THANKS NERA THIRTY SEVEN EIGHTY EIGHT CONTACT THE TOWER ONE ONE NINER     POINT ONE,234.22,237.08,L02F1-0040,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks nera thirty seven eighty eight contact the tower one one niner point one,thanks nera xxxx xxxx xxxx xxxx contact the tower xxx xxx niner point xxx
GAA329,F1-1,BIZEX THREE TWENTY NINE BOSTON TOWER (QUOTE S,237.67,240.35,L02F1-0041,,bizex three twenty nine boston tower quote s,bizex xxxx xxxx xxxx boston tower quote s
F1-1,N01C,CRUSADER TWO TWO ZERO ONE CHARLIE CONTACT THE TOWER ONE ONE NINER POINT     ONE,241.06,244.02,L02F1-0042,,crusader two two zero one charlie contact the tower one one niner point one,crusader xxx xxx xxxx xxx charlie contact the tower xxx xxx niner point xxx
N01C,F1-1,NINETEEN ONE,244.29,244.9,L02F1-0043,,nineteen one,xxxx xxx
F1-1,N21CM,GULFSTREAM ONE CHARLIE MIKE YOU (QUOTE RE,245.85,249.28,L02F1-0044,,gulfstream one charlie mike you quote re,gulfstream xxx charlie mike you quote re
N21CM,F1-1,WE HAVE IT IN SIGHT,249.87,250.85,L02F1-0045,,we have it in sight,we have it in sight
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE YOUR RUNWAY IS TWO SEVEN CLEARED FOR     THE VISUAL APPROACH,250.97,254.58,L02F1-0046,,gulfstream two two one charlie mike your runway is two seven cleared for the visual approach,gulfstream xxx xxx xxx charlie mike your runway is xxx xxxx cleared for the visual approach
N21CM,F1-1,O K CLEARED FOR THE VISUAL TWO SEVEN CHARLIE MIKE,254.9,257.21,L02F1-0047,,o k cleared for the visual two seven charlie mike,o k cleared for the visual xxx xxxx charlie mike
USA1588,F1-1,(UNINTELLIGIBLE,261.25,265.6,L02F1-0048,STATIC ON THE FREQUENCY,unintelligible,unintelligible
FAB1588,F1-1,U S AIR FIFTEEN EIGHTY EIGHT BOSTON APPROACH GOOD AFTERNOON DESCEND AND     MAINTAIN FOUR THOUSAND,265.65,269.12,L02F1-0049,,u s air fifteen eighty eight boston approach good afternoon descend and maintain four thousand,u s air xxxx xxxx xxxx boston approach good afternoon descend and maintain xxxx xxxx
USA1588,F1-1,ON DOWN TO FOUR THOUSAND U S AIR FIFTEEN EIGHTY EIGHT,269.37,272.2,L02F1-0050,,on down to four thousand u s air fifteen eighty eight,on down to xxxx xxxx u s air xxxx xxxx xxxx
